;;;;;
Tanggal;Item;Kemasan (Ziplock/Jar/Botol/Dus);Qty;Harga;Total
;;;;;
01/03/2024;Bawang Putih Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
01/03/2024;Merica Bubuk;Ziplock 50gr;1; Rp20.000 ; Rp20.000 
01/03/2024;Daun Kelor Bubuk;Jar 50gr;2; Rp30.000 ; Rp60.000 
01/03/2024;Kunyit Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
01/03/2024;Ketumbar Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
01/03/2024;Arena Gula Aren;Ziplock 200gr;1; Rp35.000 ; Rp35.000 
02/03/2024;Cabe Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
02/03/2024;Bawang Putih Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
02/03/2024;Jahe Bubuk;Jar 50gr;3; Rp50.000 ; Rp150.000 
02/03/2024;Daun Kelor Bubuk;Ziplock 125gr;1; Rp45.000 ; Rp45.000 
02/03/2024;Cabe Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
02/03/2024;Jahe Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
02/03/2024;Lengkuas Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
03/03/2024;Bawang Bombay Bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
03/03/2024;Pala Bubuk;Jar 55gr;1; Rp45.000 ; Rp45.000 
03/03/2024;Cengkeh Bubuk;Ziplock 50gr;2; Rp25.000 ; Rp50.000 
03/03/2024;Bawang Putih Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
03/03/2024;Arena Arabica Wine COffe;Dus 20gr;3; Rp8.000 ; Rp24.000 
03/03/2024;Daun Kelor Bubuk;Jar 50gr;2; Rp30.000 ; Rp60.000 
04/03/2024;Cabe Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
04/03/2024;Kapulaga bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
04/03/2024;Kunyit Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
04/03/2024;Merica Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
04/03/2024;Ketumbar Bubuk;Jar 55gr;4; Rp40.000 ; Rp160.000 
04/03/2024;Jahe Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
04/03/2024;Arena Gula Aren;Jar 300gr;2; Rp50.000 ; Rp100.000 
04/03/2024;Bawang Putih Bubuk;Ziplock 50gr;6; Rp20.000 ; Rp120.000 
05/03/2024;Lengkuas Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
05/03/2024;Cengkeh Bubuk;Jar 250gr;1; Rp100.000 ; Rp100.000 
05/03/2024;Merica Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
05/03/2024;Cabe Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
05/03/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
05/03/2024;Arena Gula Aren Sirup;Botol 500ml;2; Rp40.000 ; Rp80.000 
06/03/2024;Arena Gula Aren;Ziplock 200gr;2; Rp35.000 ; Rp70.000 
06/03/2024;Arena Arabica Wine COffe;Dus 20gr;3; Rp8.000 ; Rp24.000 
06/03/2024;Kapulaga bubuk;Ziplock 50gr;1; Rp20.000 ; Rp20.000 
06/03/2024;Daun Kelor Bubuk;Ziplock 125gr;2; Rp45.000 ; Rp90.000 
06/03/2024;Bawang Putih Bubuk;Ziplock 50gr;10; Rp20.000 ; Rp200.000 
06/03/2024;Cabe Bubuk;Jar 55gr;4; Rp40.000 ; Rp160.000 
06/03/2024;Cabe Bubuk;Ziplock 50gr;7; Rp20.000 ; Rp140.000 
06/03/2024;Ketumbar Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
07/03/2024;Jahe Bubuk;Jar 50gr;9; Rp30.000 ; Rp270.000 
07/03/2024;Ketumbar Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
07/03/2024;Kunyit Bubuk;Jar 250gr;3; Rp80.000 ; Rp240.000 
07/03/2024;Kapulaga Bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
07/03/2024;Bawang Putih Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
07/03/2024;Merica Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
07/03/2024;Bawang Putih Bubuk;Jar 55gr;6; Rp40.000 ; Rp240.000 
07/03/2024;Merica Bubuk;Jar 55gr;7; Rp40.000 ; Rp280.000 
07/03/2024;Arena Gula Aren;Ziplock 200gr;4; Rp35.000 ; Rp140.000 
07/03/2024;Lengkuas Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
08/03/2024;Bawang Bombay Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
08/03/2024;Kunyit Bubuk;Jar 250gr;3; Rp80.000 ; Rp240.000 
08/03/2024;Ketumbar Bubuk;Jar 55gr;8; Rp40.000 ; Rp320.000 
08/03/2024;Jahe Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
08/03/2024;Arena Gula Aren;Jar 300gr;2; Rp50.000 ; Rp100.000 
08/03/2024;Bawang Putih Bubuk;Ziplock 50gr;7; Rp20.000 ; Rp140.000 
08/03/2024;Cabe Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
08/03/2024;Cengkeh Bubuk;Jar 250gr;2; Rp100.000 ; Rp200.000 
08/03/2024;Merica Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
08/03/2024;Cabe Bubuk;Jar 55gr;6; Rp40.000 ; Rp240.000 
08/03/2024;Bawang Putih Bubuk;Jar 250gr;2; Rp100.000 ; Rp200.000 
09/03/2024;Cabe Bubuk;Jar 55gr;10; Rp40.000 ; Rp400.000 
09/03/2024;Bawang Putih Bubuk;Jar 55gr;12; Rp40.000 ; Rp480.000 
